agency,domain,funding_scheme,ending_year,no_projects,if,ais,avg_if_perc,funding_eur,weig_if,weig_ais,weig_avg_if_perc
ERC,LS1,Advanced Grant (AdG),2013,1,0,0,0,1997000,0,0,0
ERC,LS1,Advanced Grant (AdG),2014,8,1191.214,576.738,102.979,17797047,66.93,32.41,5.79
ERC,LS1,Advanced Grant (AdG),2015,12,1869.247,1004.328,124.16744,28264928,66.13,35.53,4.39
ERC,LS1,Advanced Grant (AdG),2016,9,689.511,333.371,62.0804,20611928,33.45,16.17,3.01
ERC,LS1,Advanced Grant (AdG),2017,10,1427.85,717.554,116.61048,23008785,62.06,31.19,5.07
ERC,LS1,Advanced Grant (AdG),2018,16,2424.296,1142.652,179.30508,38790514,62.5,29.46,4.62
ERC,LS1,Advanced Grant (AdG),2019,14,3369.501,1534.664,274.75008,33988933,99.14,45.15,8.08
ERC,LS1,Advanced Grant (AdG),2020,5,2101.18,1083.192,107.21258,10053649,209,107.74,10.66
ERC,LS1,Advanced Grant (AdG),2021,9,1707.876,860.067,86.07257,20655663,82.68,41.64,4.17
ERC,LS1,Advanced Grant (AdG),2022,13,1401.858,680.471,86.94365,29038785,48.28,23.43,2.99
ERC,LS1,Advanced Grant (AdG),2023,10,263.475,121.53,21.5891,22621336,11.65,5.37,0.95
ERC,LS1,Advanced Grant (AdG),2024,7,187.659,82.041,14.20554,15515970,12.09,5.29,0.92
ERC,LS1,Advanced Grant (AdG),2025,5,305.343,151.188,11.93354,10348747,29.51,14.61,1.15
ERC,LS1,Advanced Grant (AdG),2026,1,81.416,42.714,1.98827,2100929,38.75,20.33,0.95
ERC,LS1,Consolidator Grant (CoG),2019,10,1416.233,731.324,92.33647,19714004,71.84,37.1,4.68
ERC,LS1,Consolidator Grant (CoG),2020,7,859.912,414.113,69.3982,13781757,62.39,30.05,5.04
ERC,LS1,Consolidator Grant (CoG),2021,11,1920.052,935.393,123.78742,21511195,89.26,43.48,5.75
ERC,LS1,Consolidator Grant (CoG),2022,11,1234.589,588.614,80.79719,22277952,55.42,26.42,3.63
ERC,LS1,Consolidator Grant (CoG),2023,9,605.685,270.009,40.56099,18169948,33.33,14.86,2.23
ERC,LS1,Consolidator Grant (CoG),2024,7,314.952,145.472,24.34191,13295657,23.69,10.94,1.83
ERC,LS1,Consolidator Grant (CoG),2025,9,137.863,45.77,17.73432,18146894,7.6,2.52,0.98
ERC,LS1,Consolidator Grant (CoG),2026,4,5.996,1.294,0.81073,7996763,0.75,0.16,0.1
ERC,LS1,Starting Grant (StG),2012,1,304.91,170.287,16.21884,900000,338.79,189.21,18.02
ERC,LS1,Starting Grant (StG),2013,20,1378.249,725.596,118.8321,22113456,62.33,32.81,5.37
ERC,LS1,Starting Grant (StG),2014,13,1179.113,605.589,117.60014,18405286,64.06,32.9,6.39
ERC,LS1,Starting Grant (StG),2015,12,1494.045,742.899,93.69791,17823659,83.82,41.68,5.26
ERC,LS1,Starting Grant (StG),2016,17,2020.539,959.779,173.18457,25190285,80.21,38.1,6.88
ERC,LS1,Starting Grant (StG),2017,20,3248.272,1552.049,260.5713,30623552,106.07,50.68,8.51
ERC,LS1,Starting Grant (StG),2018,15,1364.557,630.997,113.34403,23097367,59.08,27.32,4.91
ERC,LS1,Starting Grant (StG),2019,10,1038.829,497.336,81.98759,15570515,66.72,31.94,5.27
ERC,LS1,Starting Grant (StG),2020,5,537.934,244.886,52.138,7804443,68.93,31.38,6.68
ERC,LS1,Starting Grant (StG),2021,20,2061.796,995.403,151.43233,31435079,65.59,31.67,4.82
ERC,LS1,Starting Grant (StG),2022,11,717.989,304.005,68.47714,17968612,39.96,16.92,3.81
ERC,LS1,Starting Grant (StG),2023,9,483.457,255.279,23.90797,13224838,36.56,19.3,1.81
ERC,LS1,Starting Grant (StG),2024,9,355.807,171.695,26.30916,13205934,26.94,13,1.99
ERC,LS1,Starting Grant (StG),2025,11,60.363,25.883,4.0335,16533507,3.65,1.57,0.24
ERC,LS1,Starting Grant (StG),2026,5,0,0,0,7739697,0,0,0
ERC,LS2,Advanced Grant (AdG),2013,4,252.997,134.308,16.01526,9148332,27.65,14.68,1.75
ERC,LS2,Advanced Grant (AdG),2014,5,1706.315,909.187,123.13083,10231390,166.77,88.86,12.03
ERC,LS2,Advanced Grant (AdG),2015,12,2414.905,1281.708,178.35225,26873962,89.86,47.69,6.64
ERC,LS2,Advanced Grant (AdG),2016,11,2188.058,939.976,185.09576,22796152,95.98,41.23,8.12
ERC,LS2,Advanced Grant (AdG),2017,10,2134.557,1156.706,124.97336,24035907,88.81,48.12,5.2
ERC,LS2,Advanced Grant (AdG),2018,12,2598.992,1290.968,210.08974,27269174,95.31,47.34,7.7
ERC,LS2,Advanced Grant (AdG),2019,10,1543.81,744.63,129.14717,24394246,63.29,30.52,5.29
ERC,LS2,Advanced Grant (AdG),2020,2,1450.263,814.644,77.18279,4345119,333.77,187.48,17.76
ERC,LS2,Advanced Grant (AdG),2021,11,2059.809,1020.311,126.42224,25368916,81.19,40.22,4.98
ERC,LS2,Advanced Grant (AdG),2022,8,954.919,475.058,45.02118,19813704,48.19,23.98,2.27
ERC,LS2,Advanced Grant (AdG),2023,5,387.592,189.496,21.5296,11880100,32.63,15.95,1.81
ERC,LS2,Advanced Grant (AdG),2024,8,418.703,214.971,30.14043,19095618,21.93,11.26,1.58
ERC,LS2,Advanced Grant (AdG),2025,3,48.32,25.079,1.84507,7155764,6.75,3.5,0.26
ERC,LS2,Advanced Grant (AdG),2026,1,42.779,21.917,0.99296,2302500,18.58,9.52,0.43
ERC,LS2,Consolidator Grant (CoG),2019,13,1665.716,842.283,118.67365,24735704,67.34,34.05,4.8
ERC,LS2,Consolidator Grant (CoG),2020,7,1105.198,548.007,74.01586,13729881,80.5,39.91,5.39
ERC,LS2,Consolidator Grant (CoG),2021,11,2057.647,1018.679,118.07614,21905626,93.93,46.5,5.39
ERC,LS2,Consolidator Grant (CoG),2022,12,2213.927,1217.671,95.18848,25168706,87.96,48.38,3.78
ERC,LS2,Consolidator Grant (CoG),2023,10,1087.221,532.917,55.5039,20278150,53.62,26.28,2.74
ERC,LS2,Consolidator Grant (CoG),2024,9,475.87,254.832,23.62826,18552512,25.65,13.74,1.27
ERC,LS2,Consolidator Grant (CoG),2025,8,220.63,107.737,18.57424,15889957,13.88,6.78,1.17
ERC,LS2,Consolidator Grant (CoG),2026,4,0,0,0,7999916,0,0,0
ERC,LS2,Consolidator Grant (CoG),2027,1,0,0,0,2000000,0,0,0
ERC,LS2,Starting Grant (StG),2013,10,946.106,490.47,72.76236,10651739,88.82,46.05,6.83
ERC,LS2,Starting Grant (StG),2014,10,1167.343,604.428,97.39818,13385950,87.21,45.15,7.28
ERC,LS2,Starting Grant (StG),2015,16,2731.98,1404.211,204.92988,24208021,112.85,58.01,8.47
ERC,LS2,Starting Grant (StG),2016,21,2465.439,1221.159,205.49585,31570148,78.09,38.68,6.51
ERC,LS2,Starting Grant (StG),2017,23,3387.38,1659.765,312.28998,34167827,99.14,48.58,9.14
ERC,LS2,Starting Grant (StG),2018,12,2324.168,1132.411,181.94751,17865009,130.1,63.39,10.18
ERC,LS2,Starting Grant (StG),2019,10,1438.957,786.186,89.68753,15171281,94.85,51.82,5.91
ERC,LS2,Starting Grant (StG),2020,6,742.372,396.847,50.33601,8942313,83.02,44.38,5.63
ERC,LS2,Starting Grant (StG),2021,19,1897.887,1009.037,129.61032,28666091,66.21,35.2,4.52
ERC,LS2,Starting Grant (StG),2022,11,925.094,464.371,76.60564,16940044,54.61,27.41,4.52
ERC,LS2,Starting Grant (StG),2023,18,582.629,286.814,47.36287,27236229,21.39,10.53,1.74
ERC,LS2,Starting Grant (StG),2024,13,219.573,114.806,11.76992,19490602,11.27,5.89,0.6
ERC,LS2,Starting Grant (StG),2025,10,201.253,104.42,12.15907,14944098,13.47,6.99,0.81
ERC,LS2,Starting Grant (StG),2026,7,24.914,13.08,1.89912,11212314,2.22,1.17,0.17
ERC,LS3,Advanced Grant (AdG),2013,1,4.106,1.186,0.91447,2240000,1.83,0.53,0.41
ERC,LS3,Advanced Grant (AdG),2014,8,866.259,469.815,64.19671,17550802,49.36,26.77,3.66
ERC,LS3,Advanced Grant (AdG),2015,10,562.587,283.767,44.4697,22185089,25.36,12.79,2
ERC,LS3,Advanced Grant (AdG),2016,11,1160.196,599.446,85.86605,25858430,44.87,23.18,3.32
ERC,LS3,Advanced Grant (AdG),2017,8,681.496,346.575,57.40621,17691024,38.52,19.59,3.24
ERC,LS3,Advanced Grant (AdG),2018,11,1284.6,633.174,94.57496,27000609,47.58,23.45,3.5
ERC,LS3,Advanced Grant (AdG),2019,12,1934.674,963.722,139.8843,29471578,65.65,32.7,4.75
ERC,LS3,Advanced Grant (AdG),2020,2,47.946,23.806,1.88606,5562066,8.62,4.28,0.34
ERC,LS3,Advanced Grant (AdG),2021,9,485.564,233.562,43.55951,23717578,20.47,9.85,1.84
ERC,LS3,Advanced Grant (AdG),2022,11,1466.179,705.642,97.2145,26291106,55.77,26.84,3.7
ERC,LS3,Advanced Grant (AdG),2023,8,420.256,200.137,22.76621,20086048,20.92,9.96,1.13
ERC,LS3,Advanced Grant (AdG),2024,7,175.849,90.532,12.54903,17391084,10.11,5.21,0.72
ERC,LS3,Advanced Grant (AdG),2025,4,0,0,0,9350226,0,0,0
ERC,LS3,Advanced Grant (AdG),2026,1,37.135,15.114,4.15699,2374698,15.64,6.36,1.75
ERC,LS3,Consolidator Grant (CoG),2019,10,2104.406,1013.113,152.75082,19707359,106.78,51.41,7.75
ERC,LS3,Consolidator Grant (CoG),2020,5,667.405,343.495,54.69643,10112157,66,33.97,5.41
ERC,LS3,Consolidator Grant (CoG),2021,11,1050.245,477.488,89.31919,22541405,46.59,21.18,3.96
ERC,LS3,Consolidator Grant (CoG),2022,12,873.043,415.531,56.19992,23822182,36.65,17.44,2.36
ERC,LS3,Consolidator Grant (CoG),2023,9,729.849,354.86,45.74059,18616314,39.2,19.06,2.46
ERC,LS3,Consolidator Grant (CoG),2024,9,263.746,123.702,24.01244,17397887,15.16,7.11,1.38
ERC,LS3,Consolidator Grant (CoG),2025,8,13.873,3.414,2.06671,16424317,0.84,0.21,0.13
ERC,LS3,Consolidator Grant (CoG),2026,3,0,0,0,6369219,0,0,0
ERC,LS3,Starting Grant (StG),2011,1,147.228,58.482,16.96354,880000,167.3,66.46,19.28
ERC,LS3,Starting Grant (StG),2013,6,693.352,339.179,58.64051,9395304,73.8,36.1,6.24
ERC,LS3,Starting Grant (StG),2014,10,962.904,456.269,75.72555,13453480,71.57,33.91,5.63
ERC,LS3,Starting Grant (StG),2015,15,1402.53,730.929,109.92006,22904368,61.23,31.91,4.8
ERC,LS3,Starting Grant (StG),2016,16,2203.703,1059.345,182.03091,24353475,90.49,43.5,7.47
ERC,LS3,Starting Grant (StG),2017,18,2332.436,1178.44,163.71757,26490075,88.05,44.49,6.18
ERC,LS3,Starting Grant (StG),2018,11,1306.82,658.714,87.14747,16861601,77.5,39.07,5.17
ERC,LS3,Starting Grant (StG),2019,11,1043.425,520.069,86.19574,16808630,62.08,30.94,5.13
ERC,LS3,Starting Grant (StG),2020,7,546.335,260.286,52.95321,10360833,52.73,25.12,5.11
ERC,LS3,Starting Grant (StG),2021,13,868.947,437.054,68.47353,19945582,43.57,21.91,3.43
ERC,LS3,Starting Grant (StG),2022,15,867.615,410.723,59.27755,22986026,37.75,17.87,2.58
ERC,LS3,Starting Grant (StG),2023,11,317.214,144.911,25.25118,16923867,18.74,8.56,1.49
